filename	time	train_acc	val_acc	sd_acc10	val_auc	sd_auc10	val_tn	val_fn	val_fp	val_tp	val_precision	sd_precision10	val_recall	sd_recall10	val_f1	sd_f1_10	val_mmc	sd_mcc_10	epst	train_acc_a	sd_acc	val_acc_a	sd_acc	train_auc_a	sd_auc	val_auc_a	sd_auc	va_mmc_a	sd_mmc
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	73.5	0.69	0.59	0.0	0.769	0.0	-1.0	-1.0	-1.0	-1.0	0.261	0.0	0.341	0.0	0.284	0.0	0.057	0.0	17.8	0.6902709186077118	0.06492129096634043	0.589682549238205	0.042157384361445775	0.8798096102601546	0.031547504557171265	0.7686331219730691	0.029493492679177308	0.057265775920124204	0.15267373926093386
results/Chatelier_gut_obesity_binGMM_nb11_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193025c1.0di-1ch3dfc0.0file_sum_ok.txt	76.9	0.683	0.586	0.0	0.768	0.0	-1.0	-1.0	-1.0	-1.0	0.261	0.0	0.341	0.0	0.284	0.0	0.044	0.0	17.4	0.682672518491745	0.05952036561600587	0.5861111164093018	0.04497139954473683	0.8770463068713195	0.030572065130793927	0.7677944171495759	0.02941904332740581	0.04357101194317896	0.14999157237864563
results/Chatelier_gut_obesity_binGMM_nb12_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193145c1.0di-1ch3dfc0.0file_sum_ok.txt	86.2	0.682	0.586	0.0	0.768	0.0	-1.0	-1.0	-1.0	-1.0	0.263	0.0	0.341	0.0	0.285	0.0	0.044	0.0	17.2	0.6818645477294922	0.05609260338823828	0.5861111164093018	0.04497139954473683	0.8759977613561689	0.02907321252322908	0.7681626354245401	0.028906107625474766	0.04357101194317896	0.14999157237864563
results/Chatelier_gut_obesity_binGMM_nb13_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193314c1.0di-1ch3dfc0.0file_sum_ok.txt	87.8	0.681	0.583	0.0	0.767	0.0	-1.0	-1.0	-1.0	-1.0	0.268	0.0	0.341	0.0	0.286	0.0	0.037	0.0	17.0	0.6806645452976227	0.05501544411272228	0.5825396835803985	0.047350799707326	0.8740722408723671	0.02862496614933096	0.7670146762408667	0.028045419891907734	0.037231652114303675	0.1513807539797563
results/Chatelier_gut_obesity_binGMM_nb14_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193445c1.0di-1ch3dfc0.0file_sum_ok.txt	87.1	0.673	0.59	0.0	0.762	0.0	-1.0	-1.0	-1.0	-1.0	0.262	0.0	0.335	0.0	0.28	0.0	0.044	0.0	16.0	0.6730661392211914	0.051785399335141945	0.5898148238658905	0.04056103201262752	0.8694292603609467	0.028084505198256504	0.7623795351473924	0.030116990920988594	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb15_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193615c1.0di-1ch3dfc0.0file_sum_ok.txt	90.3	0.671	0.59	0.0	0.762	0.0	-1.0	-1.0	-1.0	-1.0	0.264	0.0	0.335	0.0	0.28	0.0	0.044	0.0	15.8	0.6710661351680756	0.049755318457035486	0.5898148238658905	0.04056103201262752	0.8680401518071141	0.027484904758308195	0.7618645194703395	0.030321128725615338	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb16_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193749c1.0di-1ch3dfc0.0file_sum_ok.txt	82.4	0.67	0.59	0.0	0.762	0.0	-1.0	-1.0	-1.0	-1.0	0.26	0.0	0.335	0.0	0.279	0.0	0.044	0.0	15.8	0.6702661335468292	0.04915137232887486	0.5898148238658905	0.04056103201262752	0.8674029351026175	0.027335763667960884	0.7616731929397274	0.030450781731866754	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb17_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_193914c1.0di-1ch3dfc0.0file_sum_ok.txt	89.7	0.664	0.59	0.0	0.762	0.0	-1.0	-1.0	-1.0	-1.0	0.263	0.0	0.337	0.0	0.28	0.0	0.044	0.0	15.4	0.663867735862732	0.04799874706256525	0.5898148238658905	0.04056103201262752	0.8653421430516977	0.026797770209437858	0.7619234833851236	0.02974363738375965	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb18_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_194047c1.0di-1ch3dfc0.0file_sum_ok.txt	89.5	0.665	0.59	0.0	0.761	0.0	-1.0	-1.0	-1.0	-1.0	0.264	0.0	0.339	0.0	0.281	0.0	0.044	0.0	15.4	0.6650661349296569	0.049392156804491154	0.5898148238658905	0.04056103201262752	0.8648477828097967	0.02661114888814006	0.7610895901570505	0.029569322453309958	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb19_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_194219c1.0di-1ch3dfc0.0file_sum_ok.txt	85.7	0.663	0.59	0.0	0.761	0.0	-1.0	-1.0	-1.0	-1.0	0.264	0.0	0.339	0.0	0.281	0.0	0.044	0.0	15.1	0.6630661368370057	0.048890181869549534	0.5898148238658905	0.04056103201262752	0.8631917144172313	0.026854800975379282	0.7612761050922427	0.029146094579778715	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb20_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_194348c1.0di-1ch3dfc0.0file_sum_ok.txt	89.3	0.66	0.59	0.0	0.761	0.0	-1.0	-1.0	-1.0	-1.0	0.264	0.0	0.339	0.0	0.281	0.0	0.044	0.0	15.0	0.6602709233760834	0.04635801053570099	0.5898148238658905	0.04056103201262752	0.8623844778336853	0.02656501560641954	0.761472243218275	0.0292093160374973	0.044120217308895794	0.1425486956093849
results/Chatelier_gut_obesity_binGMM_nb2_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192122c1.0di-1ch3dfc0.0file_sum_ok.txt	42.0	0.808	0.611	0.0	0.796	0.0	-1.0	-1.0	-1.0	-1.0	0.348	0.0	0.369	0.0	0.34	0.0	0.135	0.0	29.0	0.8077769041061401	0.09077738734848431	0.6111111104488373	0.06604755461955486	0.942394428202727	0.03679067231218199	0.7964380196523054	0.057171939937616795	0.1351175440302871	0.21277569836136026
results/Chatelier_gut_obesity_binGMM_nb3_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192208c1.0di-1ch3dfc0.0file_sum_ok.txt	45.7	0.772	0.615	0.0	0.787	0.0	-1.0	-1.0	-1.0	-1.0	0.348	0.0	0.375	0.0	0.34	0.0	0.15	0.0	27.6	0.7717960178852081	0.09343542153855308	0.6149471044540405	0.05399175072613184	0.927665456319741	0.041602970716104005	0.7873818972033259	0.047613793614608955	0.15034554827799557	0.1656590019342474
results/Chatelier_gut_obesity_binGMM_nb4_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192256c1.0di-1ch3dfc0.0file_sum_ok.txt	51.4	0.753	0.622	0.0	0.78	0.0	-1.0	-1.0	-1.0	-1.0	0.353	0.0	0.372	0.0	0.33	0.0	0.158	0.0	25.3	0.7526103615760803	0.10027403948318174	0.6220899522304535	0.05501769839428205	0.9137957448929382	0.04485716431518691	0.779561567425324	0.04188064302626028	0.15812855961759822	0.19800510362974486
results/Chatelier_gut_obesity_binGMM_nb5_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192351c1.0di-1ch3dfc0.0file_sum_ok.txt	52.3	0.729	0.611	0.0	0.777	0.0	-1.0	-1.0	-1.0	-1.0	0.287	0.0	0.367	0.0	0.313	0.0	0.121	0.0	22.6	0.7286502003669739	0.09488433126957546	0.6111111223697663	0.05780892825925881	0.9031812350153172	0.04422445841905591	0.7765400604686319	0.03935007451940657	0.12085780711563598	0.20045612193921555
results/Chatelier_gut_obesity_binGMM_nb6_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192446c1.0di-1ch3dfc0.0file_sum_ok.txt	52.1	0.717	0.604	0.0	0.773	0.0	-1.0	-1.0	-1.0	-1.0	0.281	0.0	0.354	0.0	0.302	0.0	0.088	0.0	20.5	0.7166613519191742	0.08667166948730738	0.6041005432605744	0.04400230733098366	0.8958288882525676	0.04040189223912488	0.773143730228717	0.034661334589610134	0.08781120500449914	0.17238207963043167
results/Chatelier_gut_obesity_binGMM_nb7_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192541c1.0di-1ch3dfc0.0file_sum_ok.txt	57.1	0.705	0.593	0.0	0.77	0.0	-1.0	-1.0	-1.0	-1.0	0.273	0.0	0.346	0.0	0.294	0.0	0.061	0.0	18.9	0.7054613590240478	0.07941633501201181	0.5933862626552582	0.04340236800700371	0.8890581685497055	0.036570835703642064	0.770163734217967	0.03216978501081775	0.06136809043331032	0.15633098474525267
results/Chatelier_gut_obesity_binGMM_nb8_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192641c1.0di-1ch3dfc0.0file_sum_ok.txt	69.3	0.703	0.586	0.0	0.77	0.0	-1.0	-1.0	-1.0	-1.0	0.264	0.0	0.341	0.0	0.287	0.0	0.049	0.0	19.0	0.7026629507541656	0.07332232855063153	0.5861111223697663	0.03888730617015267	0.8872308254027714	0.034368159102051835	0.7697714579659024	0.031123131245561375	0.048906595031433395	0.1460148163772213
results/Chatelier_gut_obesity_binGMM_nb9_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192754c1.0di-1ch3dfc0.0file_sum_ok.txt	71.8	0.688	0.59	0.0	0.766	0.0	-1.0	-1.0	-1.0	-1.0	0.264	0.0	0.341	0.0	0.287	0.0	0.05	0.0	17.4	0.6878677308559418	0.06587859562153982	0.5898148238658905	0.05162951323414626	0.8801075919810796	0.0325955518218084	0.7658029415469891	0.031303324916044234	0.049693147516180605	0.1622533739562424
results/metahitIBD_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_180445c1.0di-1ch3dfc0.0file_sum_ok.txt	197.3	0.946	0.844	0.0	0.925	0.0	-1.0	-1.0	-1.0	-1.0	0.839	0.0	0.816	0.0	0.823	0.0	0.654	0.0	103.7	0.9464858055114747	0.029531443896770218	0.8435918390750885	0.061529530685369205	0.9898930396596624	0.010346379500429248	0.9245921621336708	0.04258352250997636	0.6544309493373934	0.13496784434391712
results/metahitIBD_binGMM_nb11_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_180805c1.0di-1ch3dfc0.0file_sum_ok.txt	202.7	0.944	0.848	0.0	0.923	0.0	-1.0	-1.0	-1.0	-1.0	0.844	0.0	0.822	0.0	0.828	0.0	0.665	0.0	102.5	0.9439996719360352	0.028562882595728666	0.8476326644420624	0.058328812821561146	0.989284501383531	0.010458380840593336	0.9229545514442336	0.044328006040484084	0.6646007169337471	0.12674869319350524
results/metahitIBD_binGMM_nb12_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_181131c1.0di-1ch3dfc0.0file_sum_ok.txt	202.8	0.941	0.85	0.0	0.922	0.0	-1.0	-1.0	-1.0	-1.0	0.848	0.0	0.823	0.0	0.83	0.0	0.67	0.0	99.9	0.9408378720283508	0.02785845656857917	0.8496734797954559	0.0589792495734088	0.9886793245663151	0.010398172989880567	0.9224179053341768	0.043643812529906886	0.6702536805239556	0.12862915252474674
results/metahitIBD_binGMM_nb13_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_181457c1.0di-1ch3dfc0.0file_sum_ok.txt	195.5	0.94	0.854	0.0	0.922	0.0	-1.0	-1.0	-1.0	-1.0	0.852	0.0	0.829	0.0	0.835	0.0	0.679	0.0	98.1	0.9397087037563324	0.02712066469628297	0.8537142932415008	0.060819115606730464	0.988261930082072	0.010244567064343589	0.9215090001054186	0.044993632843253764	0.6793116022977939	0.1327075989438617
results/metahitIBD_binGMM_nb14_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_181815c1.0di-1ch3dfc0.0file_sum_ok.txt	198.4	0.935	0.842	0.0	0.916	0.0	-1.0	-1.0	-1.0	-1.0	0.839	0.0	0.814	0.0	0.821	0.0	0.652	0.0	90.2	0.9354177057743073	0.026764652392769355	0.841551023721695	0.062059292229657594	0.986113829895246	0.010719595824684462	0.9162894660552393	0.04419055695713469	0.6516207297795356	0.13687629245483496
results/metahitIBD_binGMM_nb15_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_182137c1.0di-1ch3dfc0.0file_sum_ok.txt	206.6	0.935	0.846	0.0	0.916	0.0	-1.0	-1.0	-1.0	-1.0	0.843	0.0	0.82	0.0	0.826	0.0	0.662	0.0	88.9	0.9345137536525726	0.026319891968410315	0.8456326603889466	0.05667705508706367	0.9857152797770775	0.010648377257891804	0.9155643843558929	0.04539095285900043	0.6619692100375588	0.1231038299909517
results/metahitIBD_binGMM_nb16_aun_0.0_1.0/a1_estopc5_fc_o2adam_lr-1.0de0.0e500_20231214_182507c1.0di-1ch3dfc0.0file_sum_ok.txt	214.8	0.933	0.848	0.0	0.915	0.0	-1.0	-1.0	-1.0	-1.0	0.845	0.0	0.823	0.0	0.829	0.0	0.666	0.0	87.9	0.933383560180664	0.025419365774728243	0.8476326584815979	0.05749572041061056	0.985365667880276	0.010553413456305649	0.9150231261859583	0.04609066885545962	0.6663032329631965	0.12495146085038097
